Destinatário,Estado,Município,Tipo,Endereço,Educação infantil,Cação/anjo
ALBERGUE MUNICIPAL CASA DO BEM,Rio Grande do Sul,Gravataí,Serviços sociais,"ERS 118, nº 3155 – Bairro Cohab C – Gravataí",,anjo
ALBERGUE MUNICIPAL E CENTRO POP,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Alfredo Emílio Allen, 144 – Bairro Santa Luzia – Tel: 3488-5880",,anjo
ALBERTO DE ALMEIDA,Espírito Santo,Vitória,Escolas,"Rod. Serafim Derenzi, 60 Santo Antônio - 29026-470",,cação
ALBERTO PASQUALINI,Rio Grande do Sul,Gravataí,Escolas,"Rua Evaristo da Veiga, nº 440 - Pda. 67 – Morada do Vale II",,anjo
ALBINO DIAS DE MELO,Rio Grande do Sul,Gravataí,Escolas,"Travessa João Schmitt, nº 90 – Pda. 79/A - Morro Agudo",,anjo
ALDEIA DA FRATERNIDADE,Rio Grande do Sul,Porto Alegre,Escolas,"R. Dona Paulina, 700",Sim,anjo
ALEGRIA DE VIVER,Santa Catarina,Joinville,Escolas,"R.: Monsenhor Gercino, 6.793",,cação
ALFONSO FIEDLER,Santa Catarina,Joinville,Escolas,"Estr. Alvino Souza do Nascimento, s/n",,cação
ALFREDINA OLIVEIRA FRANCESCONI,Rio de Janeiro,Cabo Frio,Escolas,"Rua Paraná, 13 - Jardim Esperança",,cação
ALFREDO CASTRO,Rio de Janeiro,Cabo Frio,Escolas,"Rua Roma, s/nº - Jardim Excelsior",,cação
ALFREDO GERMANO HENRIQUE HARDT,Santa Catarina,Joinville,Escolas,"Estrada D´Oeste, 5.319",,cação
ALGER RIBEIRO BOSSOIS,Espírito Santo,Vila Velha,Escolas,Rua Mário de Andrade s/n,,cação
ALGODÃO DOCE,Rio Grande do Sul,Porto Alegre,Escolas,"R. São Marcos, 150 Vila Bom Sucesso",Sim,anjo
ALICE ANTENOR DE SOUZA PROFESSORA,São Paulo,Sumaré,Escolas,N/A,Sim,cação
ALIRE CARNEIRO (CEL.),Santa Catarina,Joinville,Escolas,"Estrada Timbé, 1.335",,cação
ALITTA MARIA DO VALLE,Rio de Janeiro,Cabo Frio,Escolas,"Rod. Amaral Peixoto , Km 137 - Gargoá",,cação
ALMOXARIFADO DA PREFEITURA MUNICIPAL DE ALMIRANTE TAMANDARÉ,Paraná,Almirante Tamandaré,Escolas,"R. Geraldo Cordeiro Santana, 31 - Jardim São Venâncio",,cação
ALMOXARIFADO DE ALIMENTAÇÃO E NUTRIÇÃO,São Paulo,Jundiaí,Escolas,"R. Monteiro Lobato, 149",,cação
ALMOXARIFADO MERENDA,São Paulo,Itapetininga,Escolas,"R: ACÁSSIO DE MORES TERRA, 661",,cação
ALUIZIUS SEHNEN (PROF°),Santa Catarina,Joinville,Escolas,"R.:Baltazar Buschle, 3.645",,cação
ÁLVARO DE CASTRO MATTOS,Espírito Santo,Vitória,Escolas,"Rua Eugenílio Ramos, 130 - Jardim da Penha - 29060-130",,cação
ÁLVARO FERNANDES LIMA,Espírito Santo,Vitória,Escolas,"R.Manoel Ferreira Constantino, 46 Bela Vista - 29027-482",,cação
ALVIMAR SILVA,Espírito Santo,Vitória,Escolas,"Rua Miguel Pessoa, 10 - Mário Cypreste 29050-945",,cação
ALY DA SILVA,Espírito Santo,Vila Velha,Escolas,"Av. Gabiroba, s/n",,cação
ALZELIR TEREZINHA G. PACHECO,Santa Catarina,Joinville,Escolas,"R.:Inambú c/ Rua Jaó, 650",,cação
AMADOR AGUIAR,Santa Catarina,Joinville,Escolas,"R.:Álvaro Maia, 1.021",,cação
AMANDOS FINDER,Santa Catarina,Joinville,Escolas,"R.: Augusto Schramm, 52",,cação
AMAVTRON,Rio Grande do Sul,Porto Alegre,Escolas,"R. Caixa Econômica, 605",Sim,anjo
AMÉLIA FERREIRA,Rio de Janeiro,Cabo Frio,Escolas,"Rod. Amaral Peixoto , Km 133 - Unamar",,cação
AMÉLIA SCHEMES,Rio Grande do Sul,Gravataí,Escolas,"Rua Amélia Schemes, nº 339 – Parque Monte Claro",,anjo
AMÉRICA DOS ANJOS MONICA,Rio de Janeiro,Cabo Frio,Escolas,"Rua Rubens Ribeiro, nº60 - Boca do Mato",,cação
AMÉRICO VESPÚCIO,Rio de Janeiro,Cabo Frio,Escolas,"Rua Theonas Terra, 70 - Parque Burle",,cação
CENTRO-DIA AMIGO CURITIBANO,Paraná,Curitiba,Serviços sociais,"Rua Wilson Dacheux Pereira, 1840",,cação
CENTRO DE CONVIVÊNCIA AMIGOS DA MELHOR IDADE,Paraná,Fazenda Rio Grande,Serviços sociais,"Av. Venezuela, 247 - Eucaliptos",,cação
AMIGOS DA NATUREZA,Rio Grande do Sul,Porto Alegre,Escolas,"Estrada Juca Batista, 6841",Sim,anjo
AMILTON DA SILVA,Espírito Santo,Vila Velha,Escolas,Conj. Ewerton Montenegro Guimarães,,cação
AMILTON MONTEIRO DA SILVA,Espírito Santo,Vitória,Escolas,"Av Dário Lourenço de Souza, 760 Mario Cypreste 29026-080",,cação
AMOCASMA,Rio Grande do Sul,Porto Alegre,Escolas,"R. Dorival Castilhos Machado,481 Acesso1, 20",Sim,anjo
AMPARO SANTA CRUZ,Rio Grande do Sul,Porto Alegre,Escolas,"Estrada Costa Gama, 719",Sim,anjo
AMURT-AMURTEL (RESTINGA VELHA),Rio Grande do Sul,Porto Alegre,Escolas,"R. Eng. Oscar de Oliveira Ramos, 1353",Sim,anjo
ANA BERNARDES ROCHA,Espírito Santo,Vila Velha,Escolas,Rua Senador Monjardim s/n,,cação
ANABURGO,Santa Catarina,Joinville,Escolas,"Estrada Anaburgo, 1.747",,cação
ANACLETA SCHNEIDER LUCAS,Espírito Santo,Vitória,Escolas,R. Coronel Alziro Vianna - s/n - Fonte Grande - 29016-721,,cação
